"DOI","Title","Distinct IPs","Download volume"
"10.5447/ipk/2017/2","A. Oertel (2017-03-15): Metabolite profiling of red and blue potatoes revealed cultivar and tissue specific patterns for anthocyanins and other polyphenols (supplemental data files).","11951","26,1 TB"
"10.5447/ipk/2018/7","A. Bräutigam (2017-11-15): Results of genie3 analyis for wheat.","9199","754,1 GB"
"10.5447/ipk/2016/9","A. Junker (2016-02-17): Image analysis results from quantitative monitoring of 484 Arabidopsis thaliana plants using high-throughput plant phenotyping.","6697","2,1 TB"
"10.5447/ipk/2016/7","A. Junker (2016-05-26): Raw images files from quantitative monitoring of 484 Arabidopsis thaliana plants using high-throughput plant phenotyping.","6391","27,2 TB"
"10.5447/ipk/2012/16","P. Verboeven (2012-11-20): Micro CT raw data as used for the imaging of the void network in Brassica napus.","6355","84,6 GB"
"10.5447/ipk/2016/0","C. Klukas (2016-04-11): IAP example data set 1107BA_Corn_JPEG.","6060","1,4 TB"
"10.5447/ipk/2017/25","K. Neumann (2017-11-08): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-07-22 to 2011-09-18).","5417","21,9 TB"
"10.5447/ipk/2021/3","M. Mascher (2020-10-13): Pseudomolecules and annotation of the third version of the reference genome sequence assembly of barley cv. Morex [Morex V3].","5158","34,9 TB"
"10.5447/ipk/2017/26","K. Neumann (2017-11-06): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-09-16 to 2011-11-13).","5092","8,4 TB"
"10.5447/ipk/2019/8","M. Mascher (2019-05-09): Pseudomolecules and annotation of the second version of the reference genome sequence assembly of barley cv. Morex [Morex V2].","5004","75,5 TB"
"10.5447/ipk/2017/24","K. Neumann (2017-11-08): Raw image files from an investigation of vegetative biomass growth in well-watered and drought stress conditions in a Hordeum vulgare set (2011-05-27 to 2011-07-24).","4876","48,1 TB"
"10.5447/ipk/2020/24","M. Mascher (2020-06-22): Assembly, annotation and analysis of the barley (Hordeum vulgare L.) pan-genome.","4866","369,4 TB"
"10.5447/ipk/2015/3","N. Wendler (2015-04-23): Bulbosum to go_ a toolbox to utilize Hordeum vulgare _ bulbosum introgressions for breeding and beyond.","4744","184,1 GB"
"10.5447/ipk/2019/18","N. Bernhardt et al. (2019-11-13): Genomic and phylogenetic data for the identification of ancient and recurrent hybridizations in wheat taxa.","4443","742,1 GB"
"10.5447/ipk/2017/10","D. Pflugfelder (2017-07-10): 3D Magnetic resonance images of three weeks old barley roots grown in different soils.","3641","1,1 TB"
"10.5447/ipk/2020/4","A. Junker et al. (2019-11-18): Phenotypic assessment of growth and coloration dynamics as well as photosynthetic efficiency parameters in barley HvASL mutants and wild type plants.","3632","1,2 TB"
"10.5447/ipk/2017/17","U. Scholz (2017-10-01): GCBN de.NBI User Training - PLANT 2030 Summer School - Basis Bioinformatics Training for Biologists.","3547","1,8 TB"
"10.5447/ipk/2016/34","IBSC (2016-07-14): Pseudomolecules of the map-based reference genome assembly of barley cv. Morex.","3431","98,4 TB"
"10.5447/ipk/2020/14","A. Kuczyńska (2020-05-26): Phenotypic image data of spring barley (Hordeum vulgare L.) RIL population under drought.","3416","810,8 GB"
"10.5447/ipk/2016/59","A. Bräutigam (2016-12-01): Big Data Analysis Training  Course hosted  at the Leibniz Institute of Plant Genetics and Crop Plant Research (IPK).","3413","18,4 TB"
"10.5447/ipk/2016/8","A. Junker (2016-06-07): Technical validation experiment for reproducibility of high throughput plant phenotyping using LemnaTec automated image acquisition and IAP image analysis workflow.","3365","96,0 GB"
"10.5447/ipk/2016/55","R. Nawrot (2016-10-13): Protein analysis data of the quantitative comparison of milky sap proteins from Chelidonium majus L. of the growth stage III versus stage IV.","3280","66,3 MB"
"10.5447/ipk/2016/60","R. Fritsch (2016-12-06): A Preliminary Review of Allium subg. Melanocrommyum in Central Asia.","3210","17,4 GB"
"10.5447/ipk/2021/18","A. Junker et al. (2019-08-19): Phenotypic assessment of growth and coloration dynamics as well as photosynthetic efficiency parameters in barley HvASL mutants and wildtype plants.","3122","1,5 TB"
"10.5447/ipk/2017/9","S. Lueck (2017-08-16): siFi_ Software for long double-stranded RNAi-target design and off-target prediction.","2794","251,4 GB"
"10.5447/ipk/2018/9","M. Mascher (2018-09-06): Variant matrices for a global barley diversity panel.","2781","4,1 TB"
"10.5447/ipk/2021/11","A. Garibay-Hernández et al. (2021-05-18): Untargeted phenylpropanoid metabotypes of crop plants.","2770","979,3 MB"
"10.5447/ipk/2015/9","T. Schmutzer (2015-09-15): Functional annotation of SNPs and INDELs from 52 highly diverse accessions of the model allopolyploid plant Brassica napus.","2684","452,9 GB"
"10.5447/ipk/2014/4","A. Junker (2014-07-29): Optimizing experimental procedures for quantitative evaluation of crop plant performance in high throughput phenotyping systems.","2562","560,6 GB"
"10.5447/ipk/2016/56","T. Schmutzer (2016-06-22): Scaffolds of rye (Secale cereale L.) inbred line Lo7– version 2.","2376","16,2 TB"
"10.5447/ipk/2020/22","J. Szymanski et al. (2020-07-28): Analysis of Wild Tomato Introgression Lines Elucidates the Genetic Basis of Metabolome Variation in a Ripening Tomato Fruit.","2251","141,5 TB"
"10.5447/ipk/2016/1","N. Bernhardt (2016-04-28): Analysis of phylogenetic relationships among diploid Triticeae grasses .","2163","784,3 MB"
"10.5447/ipk/2017/22","A. Jozefowicz (2017-08-24): Nitrogen deficiency induced alterations in the root proteome of a pair of potato (Solanum tuberosum L.) varieties contrasting for their response to low N.","2143","723,2 GB"
"10.5447/ipk/2016/13","T. Schmutzer (2016-06-22): Diversity resource for Secale cereale L. including VCF files and functional annotation of SNPs and INDELs from 11 re-sequenced rye genotypes.","2121","1,6 TB"
"10.5447/ipk/2019/4","B. Pucker (2019-03-06): Chromosome-level Assembly Reveals the Niederzenz (Nd-1) Genome Structure and Gene Set.","2027","86,9 GB"
"10.5447/ipk/2020/33","The International Rye Genome Sequencing Consortium (IRGSC) (2020-12-09): The 2019-2021 rye (Secale cereale L. inbred line 'Lo7') genome assembly.","1986","120,6 TB"
"10.5447/ipk/2017/4","Q. Muqaddasi (2017-04-20): 15k SNP chip data for spring and winter wheat.","1953","4,6 GB"
"10.5447/ipk/2015/6","S. Beier (2015-05-08): Multiplex sequencing of bacterial artificial chromosomes for assembling complex plant genomes.","1934","755,7 MB"
"10.5447/ipk/2016/58","M. Martis (2016-08-03): Updated version (v2) of the Rye Genome Zipper.","1872","4,6 GB"
"10.5447/ipk/2011/0","C. Colmsee et al. (2014-07-25): A case study for efficient management of high throughput primary lab data.","1822","118,4 MB"
"10.5447/ipk/2017/7","L. Otto (2017-08-07): Supplemental Material BMC Genomics DOI10.1186_s12864-017-3991-0_ Use of genotyping-by-sequencing to determine the genetic structure in the medicinal plant chamomile, and to identify flowering time and alpha-bisabolol associated SNP-loci by genome-wide association mapping.","1802","295,8 GB"
"10.5447/ipk/2016/19","IBSC (2016-08-22): Data and procedures for the construction of the pseudomolecules of barley cv. Morex.","1793","292,5 GB"
"10.5447/ipk/2018/4","R. Hettwer Giehl et al. (2018-03-13): Gene expression signatures in Arabidopsis thaliana roots under sufficient or deficient phosphate conditions.","1768","7,9 GB"
"10.5447/ipk/2019/17","T. Schmutzer (2019-10-22): Tutorial with three data sets providing assistance and guidance of data processing using Kmasker plants.","1735","995,3 MB"
"10.5447/ipk/2015/8","T. Schmutzer (2015-09-15): Repeat investigation of 4.3 million variant positions using 52 highly diverse accessions of the model allopolyploid plant Brassica napus.","1671","23,3 GB"
"10.5447/ipk/2015/10","T. Schmutzer (2015-11-05): Genomic resource for two Genlisea species (G. nigrocaulis and G. hispidula) including the individual WGS genome assembly and the gene annotation for each species.","1621","69,5 GB"
"10.5447/ipk/2021/13","K. Gaurav (2020-10-14): K-mer matrix of OWWC Aegilops tauschii diversity panel.","1599","61,7 TB"
"10.5447/ipk/2016/57","T. Schmutzer (2016-08-03): Large data tables for gene prediction, gene annotation and the genetic map of rye (Lo7).","1572","2,5 GB"
"10.5447/ipk/2014/14","M. Mascher (2014-09-12): w7984_meraculous_scaffolds.","1555","73,1 TB"
"10.5447/ipk/2019/5","WHEALBI Consortium (2019-04-30): Single-nucleotide polymorphism matrices for 403 barley genotypes (WHEALBI diversity panel).","1538","486,1 GB"
"10.5447/ipk/2022/2","T. Lux (2022-03-10): Structural annotation, pseudomolecules, and analyses of Avena sativa (cv. Sang), Avena insularis (BYU209) and Avena longiglumis (CN58138).","1524","216,4 TB"
"10.5447/ipk/2016/27","IBSC (2016-07-15): Boundaries of the split pseudomolecules of barley cv. Morex.","1521","43,8 kB"
"10.5447/ipk/2020/29","T. Lux (2019-12-05): Strutural gene prediction and annotation for Secale cereale Lo7.","1504","241,4 GB"
"10.5447/DPPN/2014/0","J. Schnitzler (2014-07-25): Supplemental material : 'Isoprene emission-free poplars - a chance to reduce the impact from poplar plantations on the atmosphere'.","1449","5,3 MB"
"10.5447/ipk/2020/2","P. Hoseinzadeh et al. (2019-12-05): Genotyping-by-sequencing  data of two double introgression-line mapping populations developped to map the Hordeum bulbosum A42 powdery mildew locus.","1422","120,8 GB"
"10.5447/ipk/2015/7","T. Schmutzer (2015-08-25): PreBreed Yield data processing scripts.","1407","3,3 MB"
"10.5447/ipk/2019/0","S. Twardziok (2018-08-28): Coding sequences and GFF3 of high confidence wild emmer genes.","1374","136,8 GB"
"10.5447/ipk/2018/15","Y. Guo (2018-09-25): Variation data for a global diversity panel of barley with a focus on Tibetan barley (Qingke).","1360","71,7 TB"
"10.5447/ipk/2018/5","International Wheat Genome Sequencing Consortium (2018-03-29): Gene family expansion and contraction in the genome of bread wheat cv. Chinese Spring.","1357","47,6 GB"
"10.5447/ipk/2017/0","C. Ulpinnis (2017-02-07): Pre-release of scripts for an automated processing of genomic sequence data to predict gene models.","1356","701,6 kB"
"10.5447/ipk/2015/5","T. Schmutzer (2015-05-22): Single nucleotide polymorphism datasets from 52 highly diverse accessions of the model allopolyploid plant Brassica napus.","1345","28,2 GB"
"10.5447/ipk/2017/3","H. Himmelbauer et al. (2016-07-18): Beta vulgaris spp. maritima draft genome sequence assembly and structural prediction of protein coding genes.","1343","249,5 GB"
"10.5447/ipk/2012/10","K. Witzel (2011-06-26): Processed raw data as used for the quantitative analysis of the response of the barley root plasma membrane to salinity stress.","1275","4,9 GB"
"10.5447/ipk/2020/18","K. Köhl (2018-12-11): Selection and validation experiment comparing phenotypic and marker-assisted selection for drought tolerance in Solanum tuberosum ssp. tuberosum.","1262","129,9 MB"
"10.5447/ipk/2021/0","A. Jozefowicz (2020-11-04): Identification of interaction partners of type II peroxiredoxin E (updated version).","1255","789,3 GB"
"10.5447/ipk/2020/1","M. Haas (2018-12-12): Linear modeling reveals a predominance of cis- over trans-regulatory effects in wild and domesticated barley.","1255","6,0 GB"
"10.5447/ipk/2021/14","T. Lux (2020-12-10): Genome sequence assembly, structural gene prediction and functional annotation for Ae. tauschii accessions TOWWC0112 and TOWWC0106.","1233","1,9 TB"
"10.5447/ipk/2022/0","T. Lux (2021-07-01): Genome sequence assembly, structural gene prediction and functional annotation for Ae. sharonensis, Ae. longissima and Ae. speltoides.","1209","49,8 TB"
"10.5447/ipk/2012/4","M. Lange et al. (2014-07-25): IDPredictor: predict database links in biomedical database.","1209","164,1 MB"
"10.5447/ipk/2016/36","IBSC (2016-07-14): Split pseudomolecules of the map-based reference genome assembly of barley cv. Morex.","1192","251,7 GB"
"10.5447/ipk/2014/0","D. Arend et al. (2014-02-14): DPPN Techno: manage, analyse, share and publish phenotype data.","1183","208,0 MB"
"10.5447/ipk/2020/20","T. Schmutzer (2020-04-29): SNP matrix and read alignment from 1420 lines of the barley HEB-25 population for candidate gene rec8.","1168","362,6 MB"
"10.5447/ipk/2018/10","M. Gonzalez et al. (2018-08-30): Original and processed historical data gathered during the seed regeneration of the barley collection hosted at the IPK Gatersleben.","1165","6,0 GB"
"10.5447/ipk/2019/21","B. Siegmann (2019-11-08): The high-performance airborne imaging spectrometer HyPlant – From raw images to top-of-canopy reflectance and fluorescence products_ An example dataset from the agricultural research station Campus Klein-Altendorf.","1165","51,1 TB"
"10.5447/ipk/2014/6","D. Arend (2014-09-08): Data Management Experiences and Best Practices from the Perspective of a Plant Research Institute.","1164","241,8 MB"
"10.5447/ipk/2019/20","A. Maurer et al. (2019-11-21): 50k Illumina Infinium iSelect SNP Array data for the wild barley NAM population HEB-25.","1132","29,2 GB"
"10.5447/ipk/2012/11","D. Arend (2014-07-25): The e!DAL JAVA-API - Store, Share and Cite Primary Data in Life Sciences - Presentation.","1107","240,7 MB"
"10.5447/ipk/2016/29","IBSC (2016-07-12): High-resolution GBS map of the Morex x Barke RIL population.","1095","11,3 MB"
"10.5447/ipk/2018/2","D. Douchkov (2018-02-20): Validation sequences set to the article ""siFi_ Software for long double-stranded RNAi-target design and off-target prediction"".","1088","903,7 kB"
"10.5447/ipk/2016/4","M. Mascher (2016-01-25): SNP genotype matrix of of a diversity panel of 267 barley accession.","1084","5,2 TB"
"10.5447/ipk/2016/16","IBSC (2016-08-22): Positions and classifications of repetitive elements in the genome of barley cv. Morex.","1047","69,9 GB"
"10.5447/ipk/2016/11","G. Liu (2016-06-23): Phenotypic data of seven quality traits for a population of Central European wheat hybrids and their parental inbred lines.","1009","15,4 MB"
"10.5447/ipk/2016/2","J. Chen (2016-05-03): RESTful API and trained model to implement a neuro-linguistic algorithms for semantic query suggestion.","1006","381,2 GB"
"10.5447/ipk/2016/5","M. Mascher (2016-01-25): Indel genotype matrix of of a diversity panel of 267 barley accessions.","1004","9,9 GB"
"10.5447/ipk/2016/41","IBSC (2016-07-21): Protein sequences of high-confidence genes of barley cv. Morex.","1002","6,5 GB"
"10.5447/ipk/2014/7","D. Arend (2014-09-08): The e!DAL JAVA API: Sharing & Citing Research Data in Life Sciences.","991","441,5 MB"
"10.5447/ipk/2012/12","D. Arend (2014-07-25): The e!DAL JAVA-API - Store, Share and Cite Primary Data in Life Sciences - Poster.","987","83,2 MB"
"10.5447/ipk/2019/19","M. Mascher (2019-09-16): Source code of the TRITEX assembly pipeline.","971","35,0 MB"
"10.5447/ipk/2016/30","IBSC (2016-07-12): Non-redundant sequence constructed from individual assemblies of BACs of barley cv. Morex.","970","98,4 GB"
"10.5447/ipk/2012/13","D. Arend (2014-07-25): The e!DAL JAVA-API - Store, Share and Cite Primary Data in Life Sciences - Proccedings Paper.","960","26,8 MB"
"10.5447/ipk/2017/20","D. Arend (2017-10-30): The PGP infrastructure A GCBN – de.NBI service of the IPK Gatersleben (Poster).","954","57,7 MB"
"10.5447/ipk/2022/4","S. Kale (2021-10-26): Annotated resistance gene enrichment sequencing (RenSeq) assemblies of a winter wheat diversity panel.","932","16,7 TB"
"10.5447/ipk/2012/14","P. Verboeven (2014-07-25): Three-dimensional model of airspaces in the developing Brassica napus seed.","931","10,9 GB"
"10.5447/ipk/2014/18","C. Colmsee (2014-11-24): Hadoop pipeline source code for a semantic based recommendation system in life science.","924","1,7 MB"
"10.5447/ipk/2019/11","N. Philipp et al. (2019-03-19): Historical phenotypic data from seven decades of seed regeneration in a wheat ex situ collection hosted at the Leibniz Institute of Plant Genetics and Crop Plant Research (IPK).","922","4,0 GB"
"10.5447/ipk/2014/3","D. Arend (2014-06-24): The e!DAL JAVA API: Sharing and Citing Research Data in Life Sciences.","914","174,1 MB"
"10.5447/ipk/2013/1","M. Mascher (2014-07-25): Supporting material for the article 'A sequence-ready physical map of barley anchored genetically by two million SNPs'.","912","461,1 MB"
"10.5447/ipk/2016/45","IBSC (2016-07-21): Functional information of high confidence genes of barley cv. Morex.","903","1,2 GB"
"10.5447/ipk/2017/6","P. Herzig et al. (2017-07-10): Phenotype data of eight evaluated traits in a wild barley nested association mapping population at two locations in Dundee, Scotland and Halle, Germany.","901","44,4 MB"
"10.5447/ipk/2016/20","IBSC (2016-07-11): Composition of the pseudomolecules of barley cv. Morex.","899","7,8 GB"
"10.5447/ipk/2016/46","IBSC (2016-07-21): Structural information of low-confidence genes of barley cv. Morex.","883","15,6 GB"
"10.5447/ipk/2019/10","D. Knoch (2019-05-21): High-throughput phenotyping reveals strong temporal dynamics of QTL action on plant growth in canola.","882","11,5 GB"
"10.5447/ipk/2012/15","P. Verboeven (2012-11-20): Animated movie of the high-resolution CT images of the developing Brassica napus seed.","878","29,9 GB"
"10.5447/ipk/2016/14","S. Beier (2016-08-09): ReadTrimmChecker.","876","83,3 kB"
"10.5447/ipk/2016/54","H. Youssef (2016-09-28): SNP matrix for 214 barley accessions.","874","310,1 MB"
"10.5447/ipk/2016/35","IBSC (2016-07-14): Redundancy-masked pseudomolecules of the map-based reference genome assembly of barley cv. Morex.","866","141,9 GB"
"10.5447/ipk/2012/8","M. Lange et al. (2014-07-25): Distribution of ASCII characters in Database IDs.","863","462,5 kB"
"10.5447/ipk/2019/2","S. Bachmann-Pfabe (2019-01-23): Screening of wild potato genetic resources for resistance to the white potato cyst nematode.","853","9,5 MB"
"10.5447/ipk/2016/38","IBSC (2016-07-21): Structural information of high-confidence genes of barley cv. Morex.","853","2,0 TB"
"10.5447/ipk/2015/2","M. Mascher (2015-02-19): Information about 243 barley accessions subjected to genotyping-by-sequencing.","846","4,0 MB"
"10.5447/ipk/2019/6","M. Mascher (2019-04-26): BAC-based sequence scaffolds of barley cv. Morex improved by Dovetail in-vitro proximity ligation data.","843","805,5 GB"
"10.5447/ipk/2012/9","M. Lange et al. (2014-07-25): Prediction performance for UniProt entry CP20C ARATH.","842","258,6 kB"
"10.5447/ipk/2016/33","IBSC (2016-07-14): Positions of Morex WGS contigs in the updated POPSEQ map.","832","2,2 GB"
"10.5447/ipk/2019/7","M. Mascher (2019-04-26): Whole-genome shotgun sequence assemblies of bread wheat cv. Chinese Spring and wild emmer accession Zavitan.","811","509,3 GB"
"10.5447/ipk/2020/3","A. Junker (2019-11-18): Raw images files from quantitative monitoring of 484 Arabidopsis thaliana plants using high-throughput plant phenotyping (MIAPPE 1.1 update).","790","1,6 GB"
"10.5447/ipk/2016/31","IBSC (2016-07-12): Optical map of barley cv. Morex.","789","1,1 GB"
"10.5447/ipk/2018/1","M. Schreiber (2018-02-16): Single-nucleotide polymorphism (SNP) matrix for 101 genebank accessions of Secale taxa.","784","262,9 MB"
"10.5447/ipk/2017/5","M. Kuhlmann (2017-03-01): DNA methylation of the CKX2.1 promotor by terminal drought stress in barley .","779","598,0 MB"
"10.5447/ipk/2014/5","D. Arend (2014-09-08): Sharing, Versioning and Annotating SBML Models using the e!DAL Data Repository API.","775","171,0 MB"
"10.5447/ipk/2016/17","IBSC (2016-08-22): POPSEQ map on the pseudomolecules of barley cv. Morex .","774","22,2 GB"
"10.5447/ipk/2016/6","M. Mascher (2016-05-03): Genotype matrix of a diversity panel of extant barleys and five barley aDNA samples.","759","236,6 GB"
"10.5447/ipk/2016/25","IBSC (2016-07-15): Redundant regions in the pseudomolecules of barley cv. Morex.","748","4,8 MB"
"10.5447/ipk/2014/1","J. Chen (2014-07-25): Spelling correction of TAIR queries using query user refinement which has been recorded in query logs.","739","340,2 MB"
"10.5447/ipk/2016/44","IBSC (2016-07-21): Representative protein sequences of high-confidence genes of barley cv. Morex.","738","8,6 GB"
"10.5447/ipk/2016/3","M. Mascher (2015-12-04): Passport data of 228 barley genebank accessions subjected to exome sequencing.","737","1,5 MB"
"10.5447/ipk/2017/23","H. Mock (2017-08-08): Accumulation of the coumarin scopolin under abiotic stress conditions is mediated by the Arabidopsis thaliana THO_TREX complex .","733","181,7 MB"
"10.5447/ipk/2016/28","IBSC (2016-07-11): Potential contaminants in barley BAC sequence assemblies.","731","4,7 GB"
"10.5447/ipk/2014/10","M. Mascher (2014-09-08): W7984_WGS_assembly_SNP-based_genetic_positions_and_consensus_genotypes_of_scaffolds.","730","18,2 GB"
"10.5447/ipk/2014/15","J. Chen (2014-09-16): Search QTL Candidate Genes using the LAILAPS Information Retrieval System.","729","26,4 MB"
"10.5447/ipk/2023/3","V. Hinterberger (2023-01-30): High throughput phenotyping of seedling quantitative resistance against powdery mildew of the Winter Wheat collection of the German Federal ex situ Genebank for Agricultural and Horticultural Crops at IPK Gatersleben.","728","555,8 GB"
"10.5447/ipk/2020/19","S. Bachmann-Pfabe (2020-06-26): Evaluation of wild potato germplasm for tuber starch content and nitrogen utilization efficiency.","724","6,3 MB"
"10.5447/ipk/2012/2","R. Lippmann (2014-07-25): Physiologische und bioanalytische Untersuchungen während der Pollenembryogenese von Hordeum vulgare. Average Normalised Abundances. Replikat 2.","718","39,7 MB"
"10.5447/ipk/2016/12","IBSC (2016-06-24): Assemblies of individual barley BACs after contamination removal and renaming.","706","1023,0 GB"
"10.5447/ipk/2022/29","M. Nagel (2022-11-15): GLOBAL STRATEGY FOR THE CONSERVATION OF POTATO.","702","15,2 GB"
"10.5447/ipk/2014/19","D. Arend et al. (2015-01-20): LAILAPS and e!DAL_ Explore Genome Annotations and Publish Research Data.","687","67,5 MB"
"10.5447/ipk/2012/0","M. Lange et al. (2012-02-01): IDPredictor: predict database links in biomedical database. Supplementary material A.3 for the paper.","677","3,9 MB"
"10.5447/ipk/2017/19","D. Arend (2017-10-30): The PGP infrastructure A GCBN – de.NBI service of the IPK Gatersleben.","673","161,0 MB"
"10.5447/ipk/2016/24","IBSC (2016-07-15): Correspondence between non-redundant BAC sequence and split pseudomolecules of barley cv. Morex.","668","1,4 GB"
"10.5447/ipk/2016/22","IBSC (2016-07-11): Positional information of single BAC assemblies of barley cv. Morex.","666","406,1 MB"
"10.5447/ipk/2014/9","M. Mascher (2014-09-08): W7984_WGS_assembly_Genetic_positions_and_genotype_score_of_SNPs.","666","14,4 MB"
"10.5447/ipk/2018/13","M. Mascher (2017-08-15): Normalized Hi-C link counts for barley cultivars Morex and Barke.","658","3,3 GB"
"10.5447/ipk/2018/3","D. Arend et al. (2018-06-18): GCBN de.NBI user training - FAIR data management for plant genomics and phenomics.","653","114,2 MB"
"10.5447/ipk/2016/10","M. Kuhlmann (2016-06-16): Six-rowed domestication allele vrs1 positively regulates leaf width and vein number in barley.","647","401,3 MB"
"10.5447/ipk/2014/11","M. Mascher (2014-09-08): W7984_WGS_assembly_Genotypes_for_kmer-based_markers.","645","42,2 GB"
"10.5447/ipk/2016/40","IBSC (2016-07-21): Coding sequences of high-confidence genes of barley cv. Morex.","644","12,4 GB"
"10.5447/ipk/2022/5","A. Schulthess (2022-04-20): Genome-wide association mapping for yellow rust resistance in a population of 454 whole-genome sequenced diverse wheat genotypes.","640","134,7 GB"
"10.5447/ipk/2017/18","M. Lange (2017-10-30): An Open Source Software to Store, Share and Publish Research Data.","634","51,2 MB"
