"DOI","Title","Distinct IPs","Download volume"
"10.5447/ipk/2018/0","M. Mascher (2018-01-24): Pseudoscaffolds with barley WGS contigs used for exome capture analysis.","631","71,9 GB"
"10.5447/ipk/2012/7","J. Chen (2014-07-25): Poster_The LAILAPS Search Engine: New Features.","629","15,1 MB"
"10.5447/ipk/2020/21","T. Lux (2020-04-14): Strutural gene prediction and annotation of a 33Mb region in the wheat variety ""Jagger"".","627","2,6 GB"
"10.5447/ipk/2015/1","M. Mascher (2015-02-19): Genotyping-by-sequencing SNP matrix of 243 diverse barley accessions.","626","722,9 MB"
"10.5447/ipk/2016/18","IBSC (2016-08-22): Long non-coding RNAs (lncRNAs) in the genome of barley cv. Morex.","623","2,5 GB"
"10.5447/ipk/2014/16","M. Mascher (2014-11-06): IWGSC_Chinese_Spring_sorted_chromosome_assemblies_POPSEQ_v2.","623","9,2 GB"
"10.5447/ipk/2016/26","IBSC (2016-07-15): Redundant regions in the split pseudomolecules of barley cv. Morex.","622","1,8 MB"
"10.5447/ipk/2016/48","IBSC (2016-07-21): Coding sequences of low-confidence genes of barley cv. Morex.","620","1,4 GB"
"10.5447/ipk/2012/1","R. Lippmann (2014-07-25): Physiologische und bioanalytische Untersuchungen während der Pollenembryogenese von Hordeum vulgare. Average Normalised Abundances. Replikat 1.","617","10,8 MB"
"10.5447/ipk/2016/37","IBSC (2016-07-14): Redundancy-masked split pseudomolecules of the map-based reference genome assembly of barley cv. Morex.","616","119,0 GB"
"10.5447/ipk/2020/9","T. Schmutzer (2019-08-02): WGS assembly, gene prediction and functional annotation of Aegilops speltoides including B chromosomes.","616","89,5 GB"
"10.5447/ipk/2016/43","IBSC (2016-07-21): Representative coding sequences of high-confidence genes of barley cv. Morex.","615","3,2 GB"
"10.5447/ipk/2020/15","A. Jozefowicz (2020-05-29): Identification of interaction partners of type II peroxiredoxin E (PRXIIE).","614","1,9 TB"
"10.5447/ipk/2014/8","M. Mascher (2014-09-08): W7984_WGS_assembly_SNP_positions_on_the_assembly.","613","13,0 TB"
"10.5447/ipk/2017/21","R. Sharma et al. (2017-11-03): Yield-related grain trait phenotypic data of barley nested association mapping population from two trial locations, two years and two nitrogen fertilisation treatments.","609","17,2 MB"
"10.5447/ipk/2020/17","Y. Zhao (2020-06-17): Integrated genomic and phenotypic data for predicting grain yield of hybrids in wheat.","606","1,0 GB"
"10.5447/ipk/2016/42","IBSC (2016-07-21): Representative transcript sequences of high-confidence genes of barley cv. Morex.","604","4,1 GB"
"10.5447/ipk/2013/0","K. Witzel (2014-07-25): Acquired raw data as used for the protein identification of differential spots from the quantitative analysis of the response of the barley root proteome to salinity stress.","600","254,3 GB"
"10.5447/ipk/2017/14","N. Wendler (2017-06-01): Genotyping-by-sequencing indices of Hordeum bulbosum mapping population.","596","350,9 kB"
"10.5447/ipk/2014/17","M. Mascher (2014-11-07): Deleted_regions_on_the_W7984_assembly.","596","2,6 GB"
"10.5447/ipk/2015/0","M. Mascher (2015-01-23): Barley gene annotation file of near-complete high-confidence genes with open reading frame information.","593","1,0 GB"
"10.5447/ipk/2012/3","R. Lippmann (2014-07-25): Physiologische und bioanalytische Untersuchungen während der Pollenembryogenese von Hordeum vulgare. Average Normalised Abundances. Replikat 3.","593","14,5 MB"
"10.5447/ipk/2017/8","D. Douchkov (2017-08-09): Synthetic DNA constructs sequences of the siFi software calibration set.","588","30,4 kB"
"10.5447/ipk/2016/21","IBSC (2016-06-28): Assemblies of individual barley BACs before contamination removal.","583","74,2 GB"
"10.5447/ipk/2016/49","IBSC (2016-07-21): Protein sequences of low-confidence genes of barley cv. Morex.","582","432,0 MB"
"10.5447/ipk/2014/12","M. Mascher (2014-09-08): W7984_WGS_assembly_Map_locations_for_kmer-based_markers.","580","9,1 GB"
"10.5447/ipk/2011/1","T. Schmutzer et al. (2014-07-25): Visualising comparative genomics with Hilbert curves.","579","93,2 MB"
"10.5447/ipk/2018/11","M. Mascher (2017-08-10): Optical map of barley cv. Barke.","579","176,4 MB"
"10.5447/ipk/2018/14","M. Schreiber (2018-07-27): Illustrations of 10 important model and crop plant species.","567","227,1 MB"
"10.5447/ipk/2016/23","IBSC (2016-07-11): Correspondence between non-redundant BAC sequence and pseudomolecules of barley cv. Morex.","567","1,1 GB"
"10.5447/ipk/2017/11","N. Wendler (2017-06-01): Blast alignments of barley gene sequences (IBSC, 2012) against H. bulbosum assembly.","566","71,3 MB"
"10.5447/ipk/2012/6","S. Friedel (2014-07-25): Poster_DI_IPK-Evaluation_2012.","564","4,6 MB"
"10.5447/ipk/2012/5","U. Scholz (2014-07-25): Poster_BIT_IPK-Evaluation_2012.","563","88,2 MB"
"10.5447/ipk/2015/4","S. Beier (2015-05-08): Multiplex sequencing of bacterial artificial chromosomes for assembling complex plant genomes.","557","215,5 MB"
"10.5447/ipk/2014/2","E. Grafahrend-Belau (2014-07-25): Reference set of relevance ranked plant traits.","555","2,0 MB"
"10.5447/ipk/2020/23","D. Douchkov et al. (2019-12-09): Image dataset for a validation experiment of the Macrobot system.","549","4,1 GB"
"10.5447/ipk/2016/39","IBSC (2016-07-21): Transcript sequences of high-confidence genes of barley cv. Morex.","549","13,5 GB"
"10.5447/ipk/2017/16","N. Wendler (2017-08-03): High-density genetic maps of H. bulbosum and anchoring information to barley.","549","53,5 MB"
"10.5447/ipk/2017/12","N. Wendler (2017-06-01): Gmap alignments of barley gene secqences (IBSC, 2012) against H. bulbosum assembly.","547","108,8 MB"
"10.5447/ipk/2020/34","H. Gundlach (2020-12-10): Repeat annotation for the genome assembly of  Secale cereale Lo7 (Rye).","540","37,2 GB"
"10.5447/ipk/2019/9","M. Oppermann (2019-05-16): IPK genebank accessions passport data snapshot 2019-05-15.","537","839,6 MB"
"10.5447/ipk/2021/17","C. Grehl (2021-02-18): Severe cases of COVID-19 are associated with changes in circulating small RNA abundance.","535","1,4 TB"
"10.5447/ipk/2018/8","M. Haas (2018-09-05): RNA-seq characterization of a spot blotch susceptibility mutant derived from the durably resistant barley cultivar Morex through gamma radiation.","533","8,8 GB"
"10.5447/ipk/2016/50","IBSC (2016-07-21): Representative transcript sequences of low-confidence genes of barley cv. Morex.","526","1,6 GB"
"10.5447/ipk/2016/53","IBSC (2016-07-21): Functional information of low-confidence genes of barley cv. Morex.","521","202,8 MB"
"10.5447/ipk/2021/8","G. Cochrane et al. (2021-04-12): Quantitative monitoring of nucleotide information from genetic resources in context of their citation in the scientific literature.","519","111,0 GB"
"10.5447/ipk/2019/3","S. Dreissig (2019-03-08): Variant matrix for 1,140 wild barley (Hordeum vulgare ssp. spontaneum) accessions.","518","6,4 GB"
"10.5447/ipk/2016/52","IBSC (2016-07-21): Representative protein sequences of low-confidence genes of barley cv. Morex.","516","241,8 MB"
"10.5447/ipk/2022/6","A. Schulthess (2022-04-20): Genomic prediction of yield breeding values for 10,353 winter wheat genebank samples.","508","3,0 GB"
"10.5447/ipk/2021/7","K. Köhl (2021-03-12): Tuber yield and starch content of 34 potato genotypes in 14 pot and field trials with optimal and reduced irrigation conducted in Northern Germany 2011 - 2013.","497","4,2 MB"
"10.5447/ipk/2020/8","A. Boudichevskaia (2019-08-02): GO term enrichment analysis based on 229 candidate genes from the Aegilops speltoides B chromosomes.","493","452,7 kB"
"10.5447/ipk/2020/32","The International Rye Genome Sequencing Consortium (IRGSC) (2020-12-09): A suite of visual representations of the 2019-2021 rye (Secale cereale L. inbred line 'Lo7') genome assembly release.","492","440,8 MB"
"10.5447/ipk/2016/32","IBSC (2016-07-14): Raw data of the optical map of barley cv. Morex.","488","13,3 GB"
"10.5447/ipk/2019/1","S. Bachmann-Pfabe (2019-01-23): Screening of wild potato genetic resources for resistance against late blight on tubers.","488","10,8 MB"
"10.5447/ipk/2019/12","D. Heuermann et al. (2019-07-09): Interspecific competition among catch crop root biomass distribution and its influence on nitrogen and phosphorus scavenging in soils.","487","55,3 MB"
"10.5447/ipk/2020/31","The International Rye Genome Sequencing Consortium (IRGSC) (2020-12-07): SNP matrix produced for the phylogenetic analysis of Secale genetic diversity presented in the 2019--2021 rye (Secale cereale L. inbred line 'Lo7') genome assembly release.","482","16,9 TB"
"10.5447/ipk/2022/9","M. Kuhlmann (2019-04-29): Initial description of the Aeluropus littoralis genome.","477","21,0 GB"
"10.5447/ipk/2017/15","N. Wendler (2017-08-03): Integration of de novo assembled Hordeum bulbosum contigs into genetic framework maps.","477","3,5 MB"
"10.5447/ipk/2016/15","IBSC (2016-08-19): MicroRNA precursor loci in the genome of barley cv. Morex.","472","4,8 MB"
"10.5447/ipk/2020/35","J. Thiel (2020-12-22): Expression data of floral meristems in barley.","470","19,6 GB"
"10.5447/ipk/2017/13","N. Wendler (2017-06-01): De novo assembly contigs of Hordeum bulbosum accession FB2012-011-2  (doubled haploid plant FBB_170).","466","21,7 GB"
"10.5447/ipk/2018/6","N. Stein (2018-04-17): High-throughput development of SSR marker candidates and their chromosomal assignment in rye (Secale cereale L.).","465","157,2 MB"
"10.5447/ipk/2020/25","M. Mascher (2020-09-02): Genomic analysis of wheat cytogenetic stocks for chromosome 1D.","451","34,8 MB"
"10.5447/ipk/2020/30","The International Rye Genome Sequencing Consortium (IRGSC) (2020-12-09): Bionano optical map contig and alignment files used to generate the 2019-2021 rye (Secale cereale L. inbred line 'Lo7') genome assembly release.","449","1,6 GB"
"10.5447/ipk/2020/7","S. Lueck et al. (2020-04-30): Image test set for Macrobot software validation.","445","13,2 GB"
"10.5447/ipk/2014/13","M. Mascher (2014-09-08): W7984_WGS_assembly_Placement_of_kmer_markers-based_on_scaffolds.","444","11,5 GB"
"10.5447/ipk/2016/51","IBSC (2016-07-21): Representative coding sequences of low-confidence genes of barley cv. Morex.","440","347,1 MB"
"10.5447/ipk/2022/26","H. Gundlach (2022-10-19): Long read genome assembly, gene and tRNA annotation of the tropical legume Lablab purpureus.","435","984,9 GB"
"10.5447/ipk/2018/12","M. Mascher (2017-08-10): Raw data of the optical map of barley cv. Barke.","433","1,8 GB"
"10.5447/ipk/2019/15","Z. Liu (2018-07-18): Age dependent transcriptome analysis of barley seminal root.","432","36,6 MB"
"10.5072/ipk/TEST/2013/0","T. Schmutzer (2014-07-25): SampleData.","423","9,7 MB"
"10.5447/ipk/2019/16","H. Mock (2019-10-11): Integrated peak areas of anthocyanins and other polyphenols measured by LC-UV_MS and LC-MS_MRM in a set of coloured potato tubers (Solanum tuberosum L.).","417","296,2 kB"
"10.5447/ipk/2020/11","T. Schmutzer (2019-08-02): Metainformation data for the genome assembly of Aegilops speltoides including contig assignments to B chromosome.","403","4,6 GB"
"10.5447/ipk/2017/1","M. Schreiber (2017-03-09): Roggensauerteigbrot (German recipe for rye bread).","398","304,5 MB"
"10.5447/ipk/2020/12","J. Reif (2019-02-19): Genotyping information for diverse european bread wheat genotypes based on the ZUCHTWERT project.","397","88,9 MB"
"10.5447/ipk/2021/1","E. Sorge et al. (2021-01-20): Western blot analysis of nuclei extract proteins of wilde type and transgenic Arabidopsis thaliana plants possessing  degradation of specific nuclear proteins via the 26S proteasome pathway.","390","9,0 MB"
"10.5447/ipk/2022/1","S. Lueck (2022-02-22): Classified microscopy image data set of powdery mildew-infected barley leaves at 48hai, containing positive images with fungal microcolonies and negative examples.","389","11,2 GB"
"10.5447/ipk/2019/14","K. Neumann (2019-09-11): Marker matrix of 9k iSelect SNPs used in genome-wide association scans (GWAS) to study biomass formation in spring barley.","389","25,7 MB"
"10.5447/ipk/2016/47","IBSC (2016-07-21): Transcript sequences of low-confidence genes of barley cv. Morex.","384","3,2 GB"
"10.5447/ipk/2020/13","J. Reif (2019-02-19): Bread Wheat Exome Capture Sequencing SNP matrix of 77 diverse european genotypes from the ZUCHTWERT project.","376","135,2 MB"
"10.5447/ipk/2021/15","H. Gundlach (2021-07-08): Transposon Annotation for Triticum aestivum Cultivar Fielder.","365","69,6 GB"
"10.5447/ipk/2022/15","M. Mascher (2022-08-17): Filtration script for genetic variant matrices in Variant Call Format (VCF).","365","170,9 kB"
"10.5447/ipk/2020/6","J. Stock (2017-10-11): Adaptation to osmotic stress induced during Arabidopsis thaliana cryopreservation is regulated by WRKY22, a defense-related transcription factor.","362","284,2 MB"
"10.5447/ipk/2022/27","S. Zheng (2022-11-03): Metabolic diversity in a collection of wild and cultivated Brassica rapa subspecies.","358","28,9 GB"
"10.5447/ipk/2020/10","T. Schmutzer (2019-08-02): Investigation of changes in repeat abundance between genome and B chromosome of Aegilops speltoides.","353","2,7 GB"
"10.5447/ipk/2021/2","Z. Tulpová (2020-10-14): Bionano optical map of the genome of barley (Hordeum vulgare) cv. Morex - second version.","352","945,8 MB"
"10.5447/ipk/2019/13","M. Oppermann (2019-08-15): IPK genebank accessions passport data snapshot 2019-08-15.","351","179,4 MB"
"10.5447/ipk/2019/23","S. Lueck (2019-12-09): “Blaster” – graphical sequence data workbench.","346","2,3 GB"
"10.5447/ipk/2022/13","A. Gippert et al. (2021-12-15): Unravel metabolic patterns and molecular mechanisms underlying storability in sugar beet.","337","108,1 GB"
"10.5447/ipk/2021/23","M. Kuhlmann (2021-06-08): INTERMEDIUM-C mediates the shade-induced bud growth arrest in barley.","328","237,9 MB"
"10.5447/ipk/2022/18","A. Gogna (2022-08-29): The phenotypic data of elite European cultivar panel comprising 358 winter and 14 summer wheat varieties released from 1975 to 2007.","313","363,8 MB"
"10.5447/ipk/2021/5","A. Câmara (2021-02-24): Simulation of chromosome condensation with loop extruders and centromeric nucleosomes.","303","620,2 MB"
"10.5447/ipk/2022/20","M. Püpke Marone (2022-09-09): Example files generated in the TRITEX long-read assembly pipeline.","287","26,4 GB"
"10.5447/ipk/2022/17","S. Lueck (2022-07-28): Training course material for the course ""de.NBI Biology meets Programming - Introduction to Bioinformatics using Python"".","267","70,2 MB"
"10.5447/ipk/2021/10","K. Köhl et al. (2021-02-19): Supplemental material for publication 'Counfounding factors in container-based assessment of drought tolerance in Solanum tuberosum'.","263","19,8 MB"
"10.5447/ipk/2022/11","M. Berkner (2022-06-16): Comparison of ten genomic prediction approaches in a diverse collection of plant genetic resources in wheat.","261","12,0 GB"
"10.5447/ipk/2022/23","A. Schulthess (2022-09-26): Evaluating the yellow rust resistance of 600 winter wheat IPK genebank accession samples and 199 modern European cultivars based on natural and artificial inoculations in multiple-environments.","259","90,7 MB"
"10.5447/ipk/2021/4","K. Neumann (2021-02-16): Chromosomal regions with co-localisation of QTL for growth under well-watered and drought conditions in barley.","254","59,1 kB"
"10.5447/ipk/2022/28","M. Mascher (2022-11-01): TRITEX pipeline source code and documentation.","247","20,6 MB"
"10.5447/ipk/2020/26","M. Oppermann (2020-08-31): IPK genebank accessions passport data snapshot 2020-08-31.","246","206,3 MB"
"10.5447/ipk/2022/25","Y. Zhao (2022-09-28): Estimating the breeding values of 707 winter wheat IPK genebank accessions using yields of 'Elite×PGR' F1 hybrids tested across multiple-environment experiments.","238","97,7 MB"
"10.5447/ipk/2021/6","D. Heuermann (2021-03-10): Nitrogen and phosphorus accumulation by catch crops grown in pure and mixed stands.","231","9,3 MB"
"10.5447/ipk/2020/16","M. Oppermann (2020-06-04): IPK genebank accessions passport data snapshot 2020-05-15.","225","293,1 MB"
"10.5447/ipk/2022/22","A. Schulthess (2022-09-26): Evaluating the yellow rust resistance of 7,682 winter wheat IPK genebank accessions and 80 modern European cultivars based on natural infections in multiple-environments.","224","344,0 MB"
"10.5447/ipk/2020/0","K. Słomińska-Durdasiak (2020-01-15): Association mapping of wheat Fusarium head blight resistance-related regions using a candidate-gene approach and their verification in a biparental population.","211","2,3 MB"
"10.5447/ipk/2022/31","A. Schulthess (2022-12-05): Passport information for 8,838 genotyped wheat samples.","210","51,9 MB"
"10.5447/ipk/2022/10","Y. Guo (2022-06-07): Variant matrices for six-rowed wild-growing barleys (Hordeum agriocrithon).","208","906,8 TB"
"10.5447/ipk/2021/21","G. Yu (2021-09-07): Transcriptome (cDNA) assembly of Aegilops sharonensis accession 1644.","204","499,0 MB"
"10.5447/ipk/2021/16","A. Câmara (2021-06-23): Simulation of chromosome condensation with loop extruders and centromeric nucleosomes (high resolution version).","196","4,5 GB"
"10.5447/ipk/2021/20","V. Thirulogachandar (2021-07-20): Expression data of spike and spikelet meristems from barley.","190","56,3 MB"
"10.5447/ipk/2022/24","A. Schulthess (2022-09-26): Multiple-environment yield evaluation of 173 advanced wheat pre-breeding lines from crosses involving IPK genebank accessions with high yield breeding values.","187","15,8 MB"
"10.5447/ipk/2022/12","K. Köhl et al. (2022-02-07): LIDAR-based phenotyping of potato shoot development under drought stress.","169","137,2 MB"
"10.5447/ipk/2023/15","M. Schreiber et al. (2023-02-24): Data record for the genomic resources of cultivated European two-rowed spring barley genotypes.","166","16,7 GB"
"10.5447/ipk/2019/22","M. Oppermann (2019-11-15): IPK genebank accessions passport data snapshot 2019-11-15.","159","59,7 MB"
"10.5447/ipk/2020/28","M. Mascher (2020-11-13): Example of a guide map file for use in the TRITEX genome assembly pipeline.","154","482,7 MB"
"10.5447/ipk/2022/21","A. Schulthess (2022-09-23): Genomic-phenotypic data interoperability between 8,838 genotyped wheat samples, grain yield breeding value estimates and yellow rust infection scores from multiple-environment field trials.","153","22,7 GB"
"10.5447/ipk/2023/8","S. El Hanafi et al. (2023-05-16): Genome-wide prediction of thousand kernel weight for 234 winter barley accessions from the ICARDA genebank using 1,910 IPK genebank accessions as training set.","145","13,4 GB"
"10.5447/ipk/2023/19","D. Knoch (2023-10-16): Phenotyping dataset of the PREDICT canola population.","143","10,8 TB"
"10.5447/ipk/2021/12","M. Oppermann (2021-06-01): IPK genebank accessions passport data snapshot 2021-06-01.","138","364,0 kB"
"10.5447/ipk/2023/4","A. Jozefowicz (2022-07-11): Identification of proteins taking part in N and water deficiency response in potato.","136","1,4 TB"
"10.5447/ipk/2021/9","M. Oppermann (2021-04-01): IPK genebank accessions passport data snapshot 2021-04-01.","135","138,4 MB"
"10.5447/ipk/2020/5","M. Oppermann (2020-02-17): IPK genebank accessions passport data snapshot 2020-02-17.","133","68,5 MB"
"10.5447/ipk/2023/7","J. Keilwagen (2023-05-12): Introgression prediction for wheat genebank collections.","132","2,6 kB"
"10.5447/ipk/2020/27","M. Oppermann (2020-11-17): IPK genebank accessions passport data snapshot 2020-11-17.","118","137,5 MB"
"10.5447/ipk/2023/5","D. Harpke (2023-02-10): De-novo assembled genotyping-by-sequencing (GBS) datasets for Crocus series Verni species.","111","1,9 GB"
"10.5447/ipk/2023/11","W. Eckhoff (2023-06-22): Pseudonymized phenotypic and genotypic data from two stages of rye (Secale cereale) hybrid breeding program as implemented during 2018 to 2021 at KWS SAAT SE & Co. KGaA.","108","1,0 GB"
"10.5447/ipk/2022/7","M. Oppermann (2022-04-27): IPK genebank accessions passport data snapshot 2022-04-27.","104","310,5 MB"
"10.5447/ipk/2022/19","D. Heuermann (2022-08-31): Metabolite profile in root exudates of catch crops under different cultivation conditions.","88","441,0 MB"
"10.5447/ipk/2023/13","N. Narisetti et al. (2023-06-05): AWN phenotyping tool- v0.1.","78","689,8 MB"
"10.5447/ipk/2021/22","M. Oppermann (2021-11-19): IPK genebank accessions passport data snapshot 2021-11-19.","64","60,2 MB"
"10.5447/ipk/2023/18","U. Wegner (2023-07-14): DNA-Sequence amendment to dataset ""Enhancing a Sphaerobacter thermophilus ω-transaminase for kinetic resolution of β- and γ-amino acids"".","51","2,1 kB"
"10.5447/ipk/2021/19","M. Oppermann (2021-09-17): IPK genebank accessions passport data snapshot 2021-09-17.","49","0 B"
"10.5447/ipk/2022/3","G. Haberer (2021-11-22): Projection-based gene annotation of barley genotype Hatiexi.","45","89,2 MB"
"10.5447/ipk/2023/6","M. Oppermann (2023-02-17): IPK genebank accessions passport data snapshot 2023-02-17.","44","412,5 MB"
"10.5447/ipk/2022/14","A. Gippert et al. (2022-08-12): Unraveling metabolic patterns and molecular mechanisms underlying storability in sugar beet.","43","192,2 GB"
"10.5447/ipk/2023/0","V. Hinterberger (2023-01-12): Powdery mildew resistance phenotyping of the winter wheat collection of the German Federal ex situ Genebank for Agricultural and Horticultural Crops at IPK Gatersleben.","39","123,6 GB"
"10.5447/ipk/2023/10","M. Oppermann (2023-05-22): IPK genebank accessions passport data snapshot 2023-05-15.","38","0 B"
"10.5447/ipk/2023/1","V. Hinterberger (2023-01-17): Powdery mildew resistance phenotyping of the Winter Wheat collection of the German Federal ex situ Genebank for Agricultural and Horticultural Crops at IPK Gatersleben.","36","123,6 GB"
"10.5447/ipk/2022/8","M. Oppermann (2022-05-20): IPK genebank accessions passport data snapshot 2022-05-22.","35","103,5 MB"
"10.5447/ipk/2023/20","M. Berkner (2023-11-12): Leveraging the diversity in grain protein and lysine content across the winter wheat genebank collection hosted at the Leibniz Institute of Plant Genetics and Crop Plant Research.","33","23,0 GB"
"10.5447/ipk/2023/12","U. Wegner (2023-07-10): Enhancing a Sphaerobacter thermophilus ω-transaminase for kinetic resolution of β- and γ-amino acids.","33","281,8 kB"
"10.5447/ipk/2023/23","L. Laber et al. (2023-12-05): Effects of moxidectin treatment on seedlings emerging from sheep faeces.","32","0 B"
"10.5447/ipk/2023/17","R. Abbai et al. (2023-07-11): Genotypic and phenotypic datasets of a tetraploid wheat RIL population.","30","38,1 MB"
"10.5447/ipk/2023/2","A. Câmara et al. (2022-04-05): Helical organization of barley metaphase chromatids.","28","1,8 GB"
"10.5447/ipk/2022/16","M. Oppermann (2022-08-17): IPK genebank accessions passport data snapshot 2022-08-17.","27","51,6 MB"
"10.5447/ipk/2023/9","K. Köhl et al. (2023-03-09): Phenotyping shoot growth in potato under short-term and long-term drought stress.","26","145,5 MB"
"10.5447/ipk/2022/30","M. Oppermann (2022-11-16): IPK genebank accessions passport data snapshot 2022-11-16.","24","103,3 MB"
"10.5447/ipk/2023/14","J. Schneider (2023-06-20): Genomic SNP profiles for 100 winter wheat lines.","24","30,4 MB"
"10.5447/ipk/2023/22","L. Laber et al. (2023-12-05): Influences of macrocyclic lactones on germination of temperate grassland species.","20","1,8 kB"
"10.5447/ipk/2023/16","M. Oppermann (2023-08-22): IPK genebank accessions passport data snapshot 2023-08-22.","17","0 B"
"10.5447/ipk/2024/1","M. Heuermann (2023-08-17): High-throughput phenotyping of an Arabidopsis thaliana accession panel exposed to fluctuating light treatment EXP1.","15","321,1 GB"
"10.5447/ipk/2023/21","M. Oppermann (2023-11-20): IPK genebank accessions passport data snapshot 2023-11-20.","15","155,5 MB"
"10.5447/ipk/2023/24","H. Gundlach (2021-08-10): Transposon annotation for Cuscuta campestris.","14","145,8 MB"
"10.5447/ipk/2024/2","M. Heuermann (2023-08-17): High-throughput phenotyping of an Arabidopsis thaliana accession panel exposed to fluctuating light treatment EXP2.","11","495,0 GB"
"10.5447/ipk/2024/3","M. Heuermann (2023-08-18): High-throughput phenotyping of an Arabidopsis thaliana accession panel exposed to fluctuating light treatment EXP3.","7","0 B"
"10.5447/ipk/2024/0","M. Oppermann (2024-02-15): IPK genebank accessions passport data snapshot 2024-02-15.","5","0 B"